participant_id,item_id,category,word_length,freq_rank,retention_level,recall_expected_answer,recall_response,recall_correct_gorilla,recognition_expected_answer,recognition_response,recognition_correct_gorilla,proficiency_score,exposure_composite,integrative_motivation_composite,multilingualism_count
16602611,43,verb,7,140,2,scríobh,scriobh,1,NA,NA,NA,55,1.8,3,0
16602611,44,verb,5,163,2,siúil,suil,0,to walk,walk,0,55,1.8,3,0
16602611,45,verb,7,203,1,tosaigh,NA,0,to start,to start,0,55,1.8,3,0
16602611,46,adjective,5,80,2,ceart,ceart,1,NA,NA,NA,55,1.8,3,0
16602611,47,adjective,2,98,2,te,te,1,NA,NA,NA,55,1.8,3,0
16602611,48,adjective,2,121,2,óg,óig,0,young,young,0,55,1.8,3,0
16602611,49,adjective,4,137,1,fada,ard,0,long,long,1,55,1.8,3,0
16602611,50,adjective,3,154,2,ard,ard,1,NA,NA,NA,55,1.8,3,0
16602611,51,adjective,6,212,0,iomlán,NA,0,full,NA,0,55,1.8,3,0
16602611,52,adjective,4,305,0,fíor,ceart,0,true,strong,0,55,1.8,3,0
16602611,53,adjective,5,315,0,gearr,NA,0,short,NA,0,55,1.8,3,0
16602611,54,adjective,6,339,1,láidir,NA,0,strong,strong,1,55,1.8,3,0
16602611,55,adjective,3,364,1,beo,NA,0,alive,alive,1,55,1.8,3,0
16602611,56,adjective,5,370,2,bocht,bocht,1,NA,NA,NA,55,1.8,3,0
16602611,57,adjective,7,407,1,iontach,go maith,0,great,great,1,55,1.8,3,0
16602611,58,adjective,4,432,2,glan,glann,0,clean,clean,1,55,1.8,3,0
16602611,59,adjective,3,461,0,bog,NA,0,soft,NA,0,55,1.8,3,0
16602611,60,adjective,4,706,2,sean,sean,1,NA,NA,NA,55,1.8,3,0
16602612,1,concrete_noun,5,79,2,teach,teach,1,NA,NA,NA,95,2.8,3.75,0
16602612,2,concrete_noun,4,92,2,bean,bean,1,NA,NA,NA,95,2.8,3.75,0
16602612,3,concrete_noun,5,107,2,scoil,scoil,1,NA,NA,NA,95,2.8,3.75,0
16602612,4,concrete_noun,7,139,2,leabhar,leathar,0,book,book,1,95,2.8,3.75,0
16602612,5,concrete_noun,4,144,2,lámh,lamh,1,NA,NA,NA,95,2.8,3.75,0
16602612,6,concrete_noun,7,157,2,airgead,airgead,1,NA,NA,NA,95,2.8,3.75,0
16602612,7,concrete_noun,4,158,2,béal,beal,1,NA,NA,NA,95,2.8,3.75,0
16602612,8,concrete_noun,5,217,2,uisce,uisce,1,NA,NA,NA,95,2.8,3.75,0
16602612,9,concrete_noun,6,220,2,oileán,oileann,0,island,island,1,95,2.8,3.75,0
16602612,10,concrete_noun,7,238,2,cathair,cathair,1,NA,NA,NA,95,2.8,3.75,0
16602612,11,concrete_noun,5,243,2,doras,doras,1,NA,NA,NA,95,2.8,3.75,0
16602612,12,concrete_noun,3,249,2,cos,cos,1,NA,NA,NA,95,2.8,3.75,0
16602612,13,concrete_noun,4,258,2,croí,croi,1,NA,NA,NA,95,2.8,3.75,0
16602612,14,concrete_noun,9,310,2,múinteoir,muinteoir,1,NA,NA,NA,95,2.8,3.75,0
16602612,15,concrete_noun,3,384,2,bia,bia,1,NA,NA,NA,95,2.8,3.75,0
16602612,16,abstract_noun,6,39,2,bliain,bliain,1,NA,NA,NA,95,2.8,3.75,0
16602612,17,abstract_noun,2,59,2,lá,la,1,NA,NA,NA,95,2.8,3.75,0
16602612,18,abstract_noun,5,72,2,taobh,taobh,1,NA,NA,NA,95,2.8,3.75,0
16602612,19,abstract_noun,5,83,2,scéal,sceal,1,NA,NA,NA,95,2.8,3.75,0
16602612,20,abstract_noun,3,84,2,tír,tir,1,NA,NA,NA,95,2.8,3.75,0
16602612,21,abstract_noun,4,85,2,saol,saol,1,NA,NA,NA,95,2.8,3.75,0
16602612,22,abstract_noun,5,89,2,ceist,ceist,1,NA,NA,NA,95,2.8,3.75,0
16602612,23,abstract_noun,6,115,2,teanga,teanga,1,NA,NA,NA,95,2.8,3.75,0
16602612,24,abstract_noun,5,126,2,oíche,oiche,1,NA,NA,NA,95,2.8,3.75,0
16602612,25,abstract_noun,4,127,2,aire,aire,1,NA,NA,NA,95,2.8,3.75,0
16602612,26,abstract_noun,5,132,2,eolas,eolas,1,NA,NA,NA,95,2.8,3.75,0
16602612,27,abstract_noun,9,142,2,seachtain,seachtain,1,NA,NA,NA,95,2.8,3.75,0
16602612,28,abstract_noun,6,278,2,aimsir,aimsir,1,NA,NA,NA,95,2.8,3.75,0
16602612,29,abstract_noun,5,381,2,gaoth,gaoth,1,NA,NA,NA,95,2.8,3.75,0
16602612,30,abstract_noun,4,456,2,dath,dath,1,NA,NA,NA,95,2.8,3.75,0
16602612,31,verb,4,17,2,cuir,cuir,1,NA,NA,NA,95,2.8,3.75,0
16602612,32,verb,4,20,1,déan,ag deanamh,0,to do,do,0,95,2.8,3.75,0
16602612,33,verb,7,24,2,tabhair,tabhair,1,NA,NA,NA,95,2.8,3.75,0
16602612,34,verb,3,33,1,tar,ag teacht,0,to come,come,0,95,2.8,3.75,0
16602612,35,verb,5,36,2,faigh,fail,0,to get/receive,get,0,95,2.8,3.75,0
16602612,36,verb,5,41,1,téigh,ag dul,0,to go,go,0,95,2.8,3.75,0
