Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: Irish_Stripped,Spreadsheet: display,Spreadsheet: randomise_trials,Store: progress,Store: test_progress
31,1788536735197,04/09/2026 15:45:35,1788536735197,1,04/09/2026 16:45:35,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,12,Trial,Trial,3yj36p,1,response,bocht,,1249.4000000000015,2974.5999999999985,2981.199999997021,1249.4000000000015,2974.5999999999985,2981.199999997021,1,1731.7999999970198,0,,Text Entry,Response,2,object-16,poor,bocht,bocht,Trial,1,,
32,1788536737297,04/09/2026 15:45:37,1788536737297,1,04/09/2026 16:45:37,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,13,Trial,Trial,3yj36p,1,continue,,,2105.800000000003,2100,2105.800000000003,2105.800000000003,2100,2105.800000000003,0,0,0,,Click To Continue,Continue Button,3,object-17,hot,te,te,Trial,1,,
33,1788536737297,04/09/2026 15:45:37,1788536737297,1,04/09/2026 16:45:37,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,13,Trial,Trial,3yj36p,1,response,te,,999.3000000000029,2100,2106.5999999970227,999.3000000000029,2100,2106.5999999970227,1,1107.2999999970198,0,,Text Entry,Response,2,object-16,hot,te,te,Trial,1,,
34,1788536737980,04/09/2026 15:45:37,1788536737980,1,04/09/2026 16:45:37,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,14,Trial,Trial,3yj36p,1,continue,,,689.3000000000029,683.6000000000058,689.3000000000029,689.3000000000029,683.6000000000058,689.3000000000029,0,0,0,,Click To Continue,Continue Button,3,object-17,to leave/go away,imigh,imigh,Trial,1,,
35,1788536737981,04/09/2026 15:45:37,1788536737981,1,04/09/2026 16:45:37,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,14,Trial,Trial,3yj36p,1,response,,,690.0999999970227,683.6000000000058,690.0999999970227,690.0999999970227,683.6000000000058,690.0999999970227,0,0,0,,Text Entry,Response,2,object-16,to leave/go away,imigh,imigh,Trial,1,,
36,1788536738857,04/09/2026 15:45:38,1788536738857,1,04/09/2026 16:45:38,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,15,Trial,Trial,3yj36p,1,continue,,,882.7999999940366,874.6999999999971,882.7999999940366,882.7999999940366,874.6999999999971,882.7999999940366,0,0,0,,Click To Continue,Continue Button,3,object-17,to follow,lean,lean,Trial,1,,
37,1788536738860,04/09/2026 15:45:38,1788536738860,1,04/09/2026 16:45:38,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,15,Trial,Trial,3yj36p,1,response,,,883,874.6999999999971,883,883,874.6999999999971,883,0,0,0,,Text Entry,Response,2,object-16,to follow,lean,lean,Trial,1,,
38,1788536740297,04/09/2026 15:45:40,1788536740297,1,04/09/2026 16:45:40,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,16,Trial,Trial,3yj36p,1,continue,,,1447.7999999970198,1441.5,1447.7999999970198,1447.7999999970198,1441.5,1447.7999999970198,0,0,0,,Click To Continue,Continue Button,3,object-17,leg,cos,cos,Trial,1,,
39,1788536740297,04/09/2026 15:45:40,1788536740297,1,04/09/2026 16:45:40,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,16,Trial,Trial,3yj36p,1,response,,,1448.2999999970198,1441.5,1448.2999999970198,1448.2999999970198,1441.5,1448.2999999970198,0,0,0,,Text Entry,Response,2,object-16,leg,cos,cos,Trial,1,,
40,1788536743536,04/09/2026 15:45:43,1788536743536,1,04/09/2026 16:45:43,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,17,Trial,Trial,3yj36p,1,continue,,,3245,3242.300000000003,3245,3245,3242.300000000003,3245,0,0,0,,Click To Continue,Continue Button,3,object-17,island,oileán,oilean,Trial,1,,
