Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: Irish_Stripped,Spreadsheet: display,Spreadsheet: randomise_trials,Store: progress,Store: test_progress
31,1788880550917,08/09/2026 15:15:50,1788880550917,1,08/09/2026 16:15:50,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,12,Trial,Trial,3yj36p,1,response,lamh,,876.6999999999971,2115.699999999997,2123.7999999999956,876.6999999999971,2115.699999999997,2123.7999999999956,1,1247.0999999999985,0,,Text Entry,Response,2,object-16,hand,lámh,lamh,Trial,1,,
32,1788880555297,08/09/2026 15:15:55,1788880555297,1,08/09/2026 16:15:55,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,13,Trial,Trial,3yj36p,1,continue,,,4392.100000011924,4384.5,4392.100000011924,4392.100000011924,4384.5,4392.100000011924,0,0,0,,Click To Continue,Continue Button,3,object-17,teacher,múinteoir,muinteoir,Trial,1,,
33,1788880555297,08/09/2026 15:15:55,1788880555297,1,08/09/2026 16:15:55,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,13,Trial,Trial,3yj36p,1,response,muinteoir,,1008.2000000000044,4384.5,4392.5999999999985,1008.2000000000044,4384.5,4392.5999999999985,1,3384.399999999994,0,,Text Entry,Response,2,object-16,teacher,múinteoir,muinteoir,Trial,1,,
34,1788880557680,08/09/2026 15:15:57,1788880557680,1,08/09/2026 16:15:57,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,14,Trial,Trial,3yj36p,1,continue,,,2390.999999988082,2383.2000000000044,2390.999999988082,2390.999999988082,2383.2000000000044,2390.999999988082,0,0,0,,Click To Continue,Continue Button,3,object-17,true,fíor,fíor,Trial,1,,
35,1788880557681,08/09/2026 15:15:57,1788880557681,1,08/09/2026 16:15:57,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,14,Trial,Trial,3yj36p,1,response,fior,,1000.3000000000029,2383.2000000000044,2391.4000000000087,1000.3000000000029,2383.2000000000044,2391.4000000000087,0,1391.1000000000058,0,,Text Entry,Response,2,object-16,true,fíor,fíor,Trial,1,,
36,1788880559397,08/09/2026 15:15:59,1788880559397,1,08/09/2026 16:15:59,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,15,Trial,Trial,3yj36p,1,continue,,,1723.4999999999927,1715.2999999999956,1723.4999999999927,1723.4999999999927,1715.2999999999956,1723.4999999999927,0,0,0,,Click To Continue,Continue Button,3,object-17,full,iomlán,iomlan,Trial,1,,
37,1788880559397,08/09/2026 15:15:59,1788880559397,1,08/09/2026 16:15:59,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,15,Trial,Trial,3yj36p,1,response,lean,,1038.5999999999985,1715.2999999999956,1723.4999999999927,1038.5999999999985,1715.2999999999956,1723.4999999999927,0,684.8999999999942,0,,Text Entry,Response,2,object-16,full,iomlán,iomlan,Trial,1,,
38,1788880563172,08/09/2026 15:16:03,1788880563172,1,08/09/2026 16:16:03,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,16,Trial,Trial,3yj36p,1,continue,,,3784.2000000059634,3778.100000000006,3784.2000000059634,3784.2000000059634,3778.100000000006,3784.2000000059634,0,0,0,,Click To Continue,Continue Button,3,object-17,book,leabhar,leabhar,Trial,1,,
39,1788880563176,08/09/2026 15:16:03,1788880563176,1,08/09/2026 16:16:03,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,16,Trial,Trial,3yj36p,1,response,leabhair,,1040.6000000000058,3778.100000000006,3786.4000000000087,1040.6000000000058,3778.100000000006,3786.4000000000087,0,2745.800000000003,0,,Text Entry,Response,2,object-16,book,leabhar,leabhar,Trial,1,,
40,1788880565072,08/09/2026 15:16:05,1788880565072,1,08/09/2026 16:16:05,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,17,Trial,Trial,3yj36p,1,continue,,,1905.8999999880762,1899.2999999999956,1905.8999999880762,1905.8999999880762,1899.2999999999956,1905.8999999880762,0,0,0,,Click To Continue,Continue Button,3,object-17,to come,tar,tar,Trial,1,,
41,1788880565072,08/09/2026 15:16:05,1788880565072,1,08/09/2026 16:16:05,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,17,Trial,Trial,3yj36p,1,response,tar,,1365.8999999999942,1899.2999999999956,1906.3999999880762,1365.8999999999942,1899.2999999999956,1906.3999999880762,1,540.499999988082,0,,Text Entry,Response,2,object-16,to come,tar,tar,Trial,1,,
42,1788880566880,08/09/2026 15:16:06,1788880566880,1,08/09/2026 16:16:06,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,18,Trial,Trial,3yj36p,1,continue,,,1814.5999999880805,1809.800000000003,1814.5999999880805,1814.5999999880805,1809.800000000003,1814.5999999880805,0,0,0,,Click To Continue,Continue Button,3,object-17,strong,láidir,laidir,Trial,1,,
43,1788880566880,08/09/2026 15:16:06,1788880566880,1,08/09/2026 16:16:06,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,18,Trial,Trial,3yj36p,1,response,fior,,1126.4000000000015,1809.800000000003,1815.0999999880805,1126.4000000000015,1809.800000000003,1815.0999999880805,0,688.6999999880791,0,,Text Entry,Response,2,object-16,strong,láidir,laidir,Trial,1,,
44,1788880570113,08/09/2026 15:16:10,1788880570113,1,08/09/2026 16:16:10,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,19,Trial,Trial,3yj36p,1,continue,,,3238.4000000119195,3232.4000000000015,3238.4000000119195,3238.4000000119195,3232.4000000000015,3238.4000000119195,0,0,0,,Click To Continue,Continue Button,3,object-17,night,oíche,oiche,Trial,1,,
45,1788880570114,08/09/2026 15:16:10,1788880570114,1,08/09/2026 16:16:10,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,19,Trial,Trial,3yj36p,1,response,oiche,,2315.699999999997,3232.4000000000015,3238.7999999880776,2315.699999999997,3232.4000000000015,3238.7999999880776,1,923.0999999880805,0,,Text Entry,Response,2,object-16,night,oíche,oiche,Trial,1,,
46,1788880572638,08/09/2026 15:16:12,1788880572638,1,08/09/2026 16:16:12,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,20,Trial,Trial,3yj36p,1,continue,,,2531.000000011918,2524.5,2531.000000011918,2531.000000011918,2524.5,2531.000000011918,0,0,0,,Click To Continue,Continue Button,3,object-17,long,fada,fada,Trial,1,,
